location,province,area_sqm,bedrooms,bathrooms,price_php,price_per_sqm_php,property_type,distance_to_beach_km,tourism_density_score,infrastructure_score,employment_zone_score,flood_risk_score,cultural_premium_factor,quarter,year
Mandurriao - CBD Fringe,Iloilo,100,1,2,5235000.0,52355.0,Townhouse,12.0,4.5,8.5,8.0,0.1,0.04,Q3,2024
Iloilo Business Park - Megaworld,Iloilo,180,6,7,14802000.0,82234.0,Condo,15.0,5.5,9.2,9.5,0.05,0.08,Q2,2023
Bauang - Inland,La Union,30,1,2,734000.0,24463.0,Townhouse,4.0,4.5,5.5,4.0,0.1,0.01,Q1,2024
Bauang - Coastal,La Union,150,4,3,5325000.0,35501.0,Condo,1.0,6.5,6.2,4.0,0.25,0.04,Q4,2023
San Juan - Beach District,La Union,72,3,4,2924000.0,40605.0,Townhouse,0.2,9.2,7.0,4.0,0.15,0.1,Q4,2023
Molo - Heritage District,Iloilo,150,4,5,6770000.0,45132.0,Condo,5.0,5.0,6.5,5.8,0.2,0.05,Q3,2023
San Fernando City,La Union,50,1,2,1250000.0,25007.0,Condo,5.0,5.2,7.2,4.0,0.12,0.02,Q1,2023
San Fernando City,La Union,50,1,1,1310000.0,26191.0,Townhouse,5.0,5.2,7.2,4.0,0.12,0.02,Q3,2024
San Juan - Beach District,La Union,100,2,1,4532000.0,45320.0,Condo,0.2,9.2,7.0,4.0,0.15,0.1,Q1,2024
Iloilo Business Park - Megaworld,Iloilo,150,4,5,9900000.0,66003.0,Townhouse,15.0,5.5,9.2,9.5,0.05,0.08,Q2,2024
San Juan - Surf Town,La Union,50,2,2,2388000.0,47752.0,Condo,0.5,8.8,6.8,4.0,0.18,0.08,Q3,2024
Bauang - Coastal,La Union,30,1,1,928000.0,30942.0,Townhouse,1.0,6.5,6.2,4.0,0.25,0.04,Q2,2023
Mandurriao - CBD Fringe,Iloilo,85,3,3,4831000.0,56838.0,Condo,12.0,4.5,8.5,8.0,0.1,0.04,Q1,2023
Iloilo Business Park - Megaworld,Iloilo,42,2,2,3427000.0,81599.0,Townhouse,15.0,5.5,9.2,9.5,0.05,0.08,Q1,2023
Jaro - Residential,Iloilo,30,1,2,1485000.0,49512.0,Condo,14.0,3.5,7.0,6.5,0.15,0.03,Q2,2024
Jaro - Residential,Iloilo,60,2,3,2318000.0,38642.0,House,14.0,3.5,7.0,6.5,0.15,0.03,Q4,2023
Molo - Heritage District,Iloilo,85,3,3,3219000.0,37870.0,House,5.0,5.0,6.5,5.8,0.2,0.05,Q1,2023
San Juan - Surf Town,La Union,30,1,1,1254000.0,41806.0,House,0.5,8.8,6.8,4.0,0.18,0.08,Q4,2024
Bauang - Coastal,La Union,180,6,6,7009000.0,38937.0,Condo,1.0,6.5,6.2,4.0,0.25,0.04,Q3,2023
Bauang - Coastal,La Union,150,4,3,5993000.0,39953.0,House,1.0,6.5,6.2,4.0,0.25,0.04,Q4,2024
Diversion Road Corridor,Iloilo,85,3,3,3984000.0,46868.0,House,11.0,4.0,8.0,7.5,0.12,0.03,Q3,2024
Iloilo Business Park - Megaworld,Iloilo,50,2,1,3461000.0,69220.0,House,15.0,5.5,9.2,9.5,0.05,0.08,Q4,2023
Bauang - Coastal,La Union,85,3,4,2752000.0,32376.0,House,1.0,6.5,6.2,4.0,0.25,0.04,Q2,2024
Iloilo Business Park - Megaworld,Iloilo,72,1,1,5798000.0,80529.0,Townhouse,15.0,5.5,9.2,9.5,0.05,0.08,Q2,2024
Jaro - Residential,Iloilo,50,2,1,2209000.0,44189.0,Townhouse,14.0,3.5,7.0,6.5,0.15,0.03,Q4,2024
Jaro - Residential,Iloilo,72,3,4,2855000.0,39651.0,Townhouse,14.0,3.5,7.0,6.5,0.15,0.03,Q1,2024
Mandurriao - CBD Fringe,Iloilo,72,1,2,4488000.0,62331.0,House,12.0,4.5,8.5,8.0,0.1,0.04,Q2,2023
Diversion Road Corridor,Iloilo,72,1,1,3436000.0,47727.0,House,11.0,4.0,8.0,7.5,0.12,0.03,Q3,2024
San Juan - Surf Town,La Union,180,4,3,7519000.0,41772.0,House,0.5,8.8,6.8,4.0,0.18,0.08,Q4,2024
Mandurriao - CBD Fringe,Iloilo,150,3,3,9952000.0,66349.0,Condo,12.0,4.5,8.5,8.0,0.1,0.04,Q1,2024
Diversion Road Corridor,Iloilo,42,2,1,2196000.0,52285.0,Townhouse,11.0,4.0,8.0,7.5,0.12,0.03,Q3,2024
Jaro - Residential,Iloilo,180,4,5,8152000.0,45287.0,Condo,14.0,3.5,7.0,6.5,0.15,0.03,Q4,2024
Iloilo Business Park - Megaworld,Iloilo,150,5,6,11644000.0,77627.0,Condo,15.0,5.5,9.2,9.5,0.05,0.08,Q3,2023
San Juan - Surf Town,La Union,150,5,5,6649000.0,44328.0,House,0.5,8.8,6.8,4.0,0.18,0.08,Q1,2023
Molo - Heritage District,Iloilo,85,1,1,3768000.0,44334.0,Townhouse,5.0,5.0,6.5,5.8,0.2,0.05,Q1,2024
Mandurriao - CBD Fringe,Iloilo,60,1,2,3930000.0,65493.0,Townhouse,12.0,4.5,8.5,8.0,0.1,0.04,Q3,2023
Diversion Road Corridor,Iloilo,120,3,3,6462000.0,53848.0,House,11.0,4.0,8.0,7.5,0.12,0.03,Q4,2024
Bauang - Inland,La Union,120,4,3,3039000.0,25327.0,Townhouse,4.0,4.5,5.5,4.0,0.1,0.01,Q4,2024
Iloilo Business Park - Megaworld,Iloilo,72,2,3,5080000.0,70554.0,House,15.0,5.5,9.2,9.5,0.05,0.08,Q3,2024
San Juan - Surf Town,La Union,100,1,2,4648000.0,46482.0,Condo,0.5,8.8,6.8,4.0,0.18,0.08,Q3,2024
San Juan - Surf Town,La Union,180,5,6,6648000.0,36935.0,Townhouse,0.5,8.8,6.8,4.0,0.18,0.08,Q3,2024
Mandurriao - CBD Fringe,Iloilo,50,1,1,2855000.0,57090.0,Condo,12.0,4.5,8.5,8.0,0.1,0.04,Q1,2023
Bauang - Inland,La Union,30,1,2,654000.0,21787.0,Condo,4.0,4.5,5.5,4.0,0.1,0.01,Q1,2023
Jaro - Residential,Iloilo,50,1,2,2602000.0,52031.0,Condo,14.0,3.5,7.0,6.5,0.15,0.03,Q4,2023
San Fernando City,La Union,50,1,1,1334000.0,26677.0,Condo,5.0,5.2,7.2,4.0,0.12,0.02,Q2,2024
Jaro - Residential,Iloilo,180,6,5,8144000.0,45242.0,House,14.0,3.5,7.0,6.5,0.15,0.03,Q3,2023
San Juan - Beach District,La Union,100,2,2,5297000.0,52971.0,Condo,0.2,9.2,7.0,4.0,0.15,0.1,Q4,2023
Jaro - Residential,Iloilo,150,3,3,7042000.0,46948.0,Townhouse,14.0,3.5,7.0,6.5,0.15,0.03,Q4,2023
Iloilo Business Park - Megaworld,Iloilo,30,1,1,2314000.0,77149.0,House,15.0,5.5,9.2,9.5,0.05,0.08,Q1,2023
Iloilo Business Park - Megaworld,Iloilo,100,3,4,9290000.0,92895.0,Condo,15.0,5.5,9.2,9.5,0.05,0.08,Q4,2023
Jaro - Residential,Iloilo,100,3,3,4100000.0,41001.0,Townhouse,14.0,3.5,7.0,6.5,0.15,0.03,Q3,2024
Jaro - Residential,Iloilo,120,4,4,5915000.0,49288.0,Townhouse,14.0,3.5,7.0,6.5,0.15,0.03,Q1,2023
San Juan - Beach District,La Union,72,3,3,3070000.0,42639.0,Condo,0.2,9.2,7.0,4.0,0.15,0.1,Q2,2024
San Juan - Surf Town,La Union,85,3,3,3761000.0,44250.0,Townhouse,0.5,8.8,6.8,4.0,0.18,0.08,Q2,2023
Molo - Heritage District,Iloilo,100,3,4,4672000.0,46716.0,House,5.0,5.0,6.5,5.8,0.2,0.05,Q3,2024
San Fernando City,La Union,120,3,4,3149000.0,26241.0,Condo,5.0,5.2,7.2,4.0,0.12,0.02,Q1,2024
Mandurriao - CBD Fringe,Iloilo,50,1,1,3520000.0,70396.0,Condo,12.0,4.5,8.5,8.0,0.1,0.04,Q3,2024
San Juan - Beach District,La Union,60,1,2,2430000.0,40507.0,House,0.2,9.2,7.0,4.0,0.15,0.1,Q2,2024
Jaro - Residential,Iloilo,72,2,1,2912000.0,40439.0,Townhouse,14.0,3.5,7.0,6.5,0.15,0.03,Q2,2024
Iloilo Business Park - Megaworld,Iloilo,42,1,1,3441000.0,81936.0,House,15.0,5.5,9.2,9.5,0.05,0.08,Q3,2023
Iloilo Business Park - Megaworld,Iloilo,120,2,3,9712000.0,80931.0,Condo,15.0,5.5,9.2,9.5,0.05,0.08,Q2,2024
San Juan - Surf Town,La Union,180,6,5,8252000.0,45842.0,Townhouse,0.5,8.8,6.8,4.0,0.18,0.08,Q2,2023
San Juan - Surf Town,La Union,180,4,4,6975000.0,38752.0,Townhouse,0.5,8.8,6.8,4.0,0.18,0.08,Q4,2023
San Fernando City,La Union,60,1,1,1562000.0,26037.0,Townhouse,5.0,5.2,7.2,4.0,0.12,0.02,Q1,2023
Diversion Road Corridor,Iloilo,85,3,3,4535000.0,53357.0,Townhouse,11.0,4.0,8.0,7.5,0.12,0.03,Q2,2023
San Juan - Beach District,La Union,120,4,4,5884000.0,49033.0,Condo,0.2,9.2,7.0,4.0,0.15,0.1,Q1,2024
San Fernando City,La Union,60,2,2,1786000.0,29773.0,Condo,5.0,5.2,7.2,4.0,0.12,0.02,Q4,2023
Bauang - Coastal,La Union,120,2,3,5150000.0,42914.0,Condo,1.0,6.5,6.2,4.0,0.25,0.04,Q4,2024
Diversion Road Corridor,Iloilo,30,1,2,1665000.0,55484.0,Condo,11.0,4.0,8.0,7.5,0.12,0.03,Q1,2023
Molo - Heritage District,Iloilo,180,5,6,7447000.0,41374.0,Condo,5.0,5.0,6.5,5.8,0.2,0.05,Q1,2023
Bauang - Coastal,La Union,85,2,1,3371000.0,39659.0,Townhouse,1.0,6.5,6.2,4.0,0.25,0.04,Q4,2023
San Fernando City,La Union,30,1,2,827000.0,27554.0,House,5.0,5.2,7.2,4.0,0.12,0.02,Q1,2024
San Fernando City,La Union,50,1,1,1175000.0,23496.0,Townhouse,5.0,5.2,7.2,4.0,0.12,0.02,Q3,2023
Jaro - Residential,Iloilo,120,2,1,5874000.0,48947.0,Townhouse,14.0,3.5,7.0,6.5,0.15,0.03,Q3,2023
Mandurriao - CBD Fringe,Iloilo,85,2,1,4921000.0,57895.0,House,12.0,4.5,8.5,8.0,0.1,0.04,Q2,2023
Bauang - Coastal,La Union,100,1,1,3333000.0,33332.0,Townhouse,1.0,6.5,6.2,4.0,0.25,0.04,Q2,2024
Bauang - Inland,La Union,72,2,1,1918000.0,26646.0,Condo,4.0,4.5,5.5,4.0,0.1,0.01,Q4,2024
Bauang - Inland,La Union,30,1,1,797000.0,26553.0,Condo,4.0,4.5,5.5,4.0,0.1,0.01,Q1,2023
San Juan - Beach District,La Union,72,1,1,3605000.0,50067.0,Condo,0.2,9.2,7.0,4.0,0.15,0.1,Q4,2024
San Juan - Beach District,La Union,30,1,1,1281000.0,42710.0,Townhouse,0.2,9.2,7.0,4.0,0.15,0.1,Q1,2023
Bauang - Coastal,La Union,100,1,1,3837000.0,38366.0,House,1.0,6.5,6.2,4.0,0.25,0.04,Q2,2023
Molo - Heritage District,Iloilo,150,4,3,6091000.0,40608.0,House,5.0,5.0,6.5,5.8,0.2,0.05,Q1,2023
Diversion Road Corridor,Iloilo,30,1,2,1385000.0,46163.0,Townhouse,11.0,4.0,8.0,7.5,0.12,0.03,Q3,2024
Jaro - Residential,Iloilo,42,1,2,1814000.0,43191.0,House,14.0,3.5,7.0,6.5,0.15,0.03,Q3,2023
Jaro - Residential,Iloilo,72,2,1,2754000.0,38250.0,Townhouse,14.0,3.5,7.0,6.5,0.15,0.03,Q1,2024
San Juan - Surf Town,La Union,150,3,2,7474000.0,49828.0,Condo,0.5,8.8,6.8,4.0,0.18,0.08,Q2,2023
Bauang - Inland,La Union,180,6,5,4553000.0,25297.0,Townhouse,4.0,4.5,5.5,4.0,0.1,0.01,Q2,2023
Molo - Heritage District,Iloilo,72,3,3,2765000.0,38402.0,Townhouse,5.0,5.0,6.5,5.8,0.2,0.05,Q2,2024
Iloilo Business Park - Megaworld,Iloilo,85,1,1,7209000.0,84807.0,House,15.0,5.5,9.2,9.5,0.05,0.08,Q4,2023
Diversion Road Corridor,Iloilo,60,1,1,3381000.0,56343.0,Condo,11.0,4.0,8.0,7.5,0.12,0.03,Q3,2024
Jaro - Residential,Iloilo,72,3,3,2649000.0,36786.0,Townhouse,14.0,3.5,7.0,6.5,0.15,0.03,Q3,2024
Bauang - Inland,La Union,120,2,3,2920000.0,24331.0,Townhouse,4.0,4.5,5.5,4.0,0.1,0.01,Q1,2024
Jaro - Residential,Iloilo,85,2,3,4167000.0,49027.0,House,14.0,3.5,7.0,6.5,0.15,0.03,Q1,2023
Bauang - Inland,La Union,85,3,2,1768000.0,20805.0,House,4.0,4.5,5.5,4.0,0.1,0.01,Q4,2023
Molo - Heritage District,Iloilo,30,1,1,1295000.0,43179.0,Condo,5.0,5.0,6.5,5.8,0.2,0.05,Q1,2023
Bauang - Coastal,La Union,42,1,2,1548000.0,36859.0,Townhouse,1.0,6.5,6.2,4.0,0.25,0.04,Q3,2024
Jaro - Residential,Iloilo,85,2,3,3641000.0,42834.0,House,14.0,3.5,7.0,6.5,0.15,0.03,Q4,2024
Iloilo Business Park - Megaworld,Iloilo,60,2,3,4226000.0,70430.0,Condo,15.0,5.5,9.2,9.5,0.05,0.08,Q1,2023
Mandurriao - CBD Fringe,Iloilo,85,2,3,4625000.0,54406.0,Townhouse,12.0,4.5,8.5,8.0,0.1,0.04,Q1,2023
Bauang - Coastal,La Union,150,3,3,6568000.0,43786.0,Condo,1.0,6.5,6.2,4.0,0.25,0.04,Q3,2024
San Juan - Surf Town,La Union,120,4,4,4743000.0,39525.0,Condo,0.5,8.8,6.8,4.0,0.18,0.08,Q1,2024
Mandurriao - CBD Fringe,Iloilo,150,5,4,8088000.0,53922.0,Townhouse,12.0,4.5,8.5,8.0,0.1,0.04,Q3,2023
Diversion Road Corridor,Iloilo,100,3,4,5368000.0,53684.0,Townhouse,11.0,4.0,8.0,7.5,0.12,0.03,Q2,2023
San Fernando City,La Union,72,1,1,1910000.0,26523.0,Townhouse,5.0,5.2,7.2,4.0,0.12,0.02,Q3,2024
Bauang - Coastal,La Union,72,3,2,2378000.0,33031.0,House,1.0,6.5,6.2,4.0,0.25,0.04,Q1,2024
Iloilo Business Park - Megaworld,Iloilo,85,1,1,7826000.0,92068.0,Condo,15.0,5.5,9.2,9.5,0.05,0.08,Q3,2023
Diversion Road Corridor,Iloilo,50,2,2,2979000.0,59574.0,Condo,11.0,4.0,8.0,7.5,0.12,0.03,Q3,2024
San Fernando City,La Union,72,2,1,1988000.0,27612.0,Condo,5.0,5.2,7.2,4.0,0.12,0.02,Q1,2023
Jaro - Residential,Iloilo,180,5,5,7012000.0,38958.0,Townhouse,14.0,3.5,7.0,6.5,0.15,0.03,Q4,2024
Jaro - Residential,Iloilo,72,2,2,2951000.0,40991.0,Condo,14.0,3.5,7.0,6.5,0.15,0.03,Q1,2023
Jaro - Residential,Iloilo,42,1,1,1644000.0,39132.0,Townhouse,14.0,3.5,7.0,6.5,0.15,0.03,Q2,2023
Bauang - Coastal,La Union,180,4,4,5579000.0,30994.0,House,1.0,6.5,6.2,4.0,0.25,0.04,Q3,2024
Bauang - Coastal,La Union,30,1,1,900000.0,29988.0,House,1.0,6.5,6.2,4.0,0.25,0.04,Q3,2023
San Juan - Surf Town,La Union,150,5,6,5746000.0,38304.0,Condo,0.5,8.8,6.8,4.0,0.18,0.08,Q4,2023
Jaro - Residential,Iloilo,150,5,4,7012000.0,46746.0,Townhouse,14.0,3.5,7.0,6.5,0.15,0.03,Q4,2023
Jaro - Residential,Iloilo,42,2,2,1701000.0,40498.0,House,14.0,3.5,7.0,6.5,0.15,0.03,Q4,2024
Jaro - Residential,Iloilo,60,1,1,2490000.0,41500.0,Condo,14.0,3.5,7.0,6.5,0.15,0.03,Q3,2023
San Juan - Surf Town,La Union,30,1,1,1186000.0,39518.0,Condo,0.5,8.8,6.8,4.0,0.18,0.08,Q1,2023
San Fernando City,La Union,30,1,1,846000.0,28212.0,Townhouse,5.0,5.2,7.2,4.0,0.12,0.02,Q2,2023
Iloilo Business Park - Megaworld,Iloilo,120,4,4,7823000.0,65191.0,Townhouse,15.0,5.5,9.2,9.5,0.05,0.08,Q4,2023
San Juan - Beach District,La Union,50,1,1,2170000.0,43392.0,Condo,0.2,9.2,7.0,4.0,0.15,0.1,Q1,2024
San Juan - Surf Town,La Union,85,2,2,3069000.0,36111.0,House,0.5,8.8,6.8,4.0,0.18,0.08,Q4,2023
Jaro - Residential,Iloilo,85,1,1,3730000.0,43884.0,House,14.0,3.5,7.0,6.5,0.15,0.03,Q2,2024
Jaro - Residential,Iloilo,50,1,2,2463000.0,49252.0,House,14.0,3.5,7.0,6.5,0.15,0.03,Q2,2024
Mandurriao - CBD Fringe,Iloilo,150,4,3,8168000.0,54451.0,Condo,12.0,4.5,8.5,8.0,0.1,0.04,Q3,2024
San Juan - Beach District,La Union,150,4,5,6453000.0,43017.0,House,0.2,9.2,7.0,4.0,0.15,0.1,Q3,2024
Iloilo Business Park - Megaworld,Iloilo,150,3,2,11438000.0,76250.0,Townhouse,15.0,5.5,9.2,9.5,0.05,0.08,Q1,2024
San Juan - Beach District,La Union,100,3,2,4708000.0,47078.0,House,0.2,9.2,7.0,4.0,0.15,0.1,Q3,2024
San Fernando City,La Union,150,3,3,4423000.0,29486.0,House,5.0,5.2,7.2,4.0,0.12,0.02,Q2,2024
Diversion Road Corridor,Iloilo,150,5,4,8777000.0,58512.0,Condo,11.0,4.0,8.0,7.5,0.12,0.03,Q1,2024
San Juan - Beach District,La Union,50,1,1,2174000.0,43476.0,Townhouse,0.2,9.2,7.0,4.0,0.15,0.1,Q4,2023
Jaro - Residential,Iloilo,50,1,1,2058000.0,41169.0,House,14.0,3.5,7.0,6.5,0.15,0.03,Q3,2023
San Juan - Beach District,La Union,30,1,2,1279000.0,42649.0,Condo,0.2,9.2,7.0,4.0,0.15,0.1,Q2,2023
Bauang - Coastal,La Union,30,1,1,1061000.0,35371.0,Townhouse,1.0,6.5,6.2,4.0,0.25,0.04,Q4,2024
Molo - Heritage District,Iloilo,42,2,1,2054000.0,48910.0,Condo,5.0,5.0,6.5,5.8,0.2,0.05,Q3,2023
Molo - Heritage District,Iloilo,72,3,2,2680000.0,37221.0,House,5.0,5.0,6.5,5.8,0.2,0.05,Q4,2024
Bauang - Inland,La Union,85,1,1,1787000.0,21020.0,Townhouse,4.0,4.5,5.5,4.0,0.1,0.01,Q1,2023
Bauang - Inland,La Union,60,1,1,1282000.0,21368.0,House,4.0,4.5,5.5,4.0,0.1,0.01,Q2,2024
Bauang - Inland,La Union,180,4,3,3944000.0,21914.0,Condo,4.0,4.5,5.5,4.0,0.1,0.01,Q4,2024
Jaro - Residential,Iloilo,100,1,1,5351000.0,53506.0,Condo,14.0,3.5,7.0,6.5,0.15,0.03,Q4,2023
Iloilo Business Park - Megaworld,Iloilo,60,1,1,3826000.0,63769.0,House,15.0,5.5,9.2,9.5,0.05,0.08,Q2,2024
Bauang - Coastal,La Union,42,2,2,1621000.0,38602.0,Condo,1.0,6.5,6.2,4.0,0.25,0.04,Q1,2023
Bauang - Coastal,La Union,180,6,6,6795000.0,37747.0,Condo,1.0,6.5,6.2,4.0,0.25,0.04,Q4,2023
Bauang - Inland,La Union,120,4,4,3440000.0,28667.0,Condo,4.0,4.5,5.5,4.0,0.1,0.01,Q1,2023
Diversion Road Corridor,Iloilo,72,2,3,4293000.0,59631.0,Townhouse,11.0,4.0,8.0,7.5,0.12,0.03,Q3,2024
Mandurriao - CBD Fringe,Iloilo,60,1,1,3669000.0,61148.0,Townhouse,12.0,4.5,8.5,8.0,0.1,0.04,Q4,2023
San Juan - Beach District,La Union,50,1,1,1913000.0,38264.0,House,0.2,9.2,7.0,4.0,0.15,0.1,Q4,2023
Diversion Road Corridor,Iloilo,150,5,4,8726000.0,58175.0,Townhouse,11.0,4.0,8.0,7.5,0.12,0.03,Q3,2023
Jaro - Residential,Iloilo,150,3,4,6639000.0,44262.0,Condo,14.0,3.5,7.0,6.5,0.15,0.03,Q3,2024
Molo - Heritage District,Iloilo,180,6,7,7909000.0,43939.0,Townhouse,5.0,5.0,6.5,5.8,0.2,0.05,Q3,2024
Diversion Road Corridor,Iloilo,50,1,1,2362000.0,47244.0,House,11.0,4.0,8.0,7.5,0.12,0.03,Q1,2024
San Juan - Beach District,La Union,60,1,1,2887000.0,48123.0,Condo,0.2,9.2,7.0,4.0,0.15,0.1,Q3,2023
San Juan - Beach District,La Union,60,1,1,2731000.0,45514.0,House,0.2,9.2,7.0,4.0,0.15,0.1,Q4,2023
San Fernando City,La Union,72,1,1,2216000.0,30776.0,Condo,5.0,5.2,7.2,4.0,0.12,0.02,Q4,2023
Bauang - Coastal,La Union,60,2,1,2220000.0,36993.0,Condo,1.0,6.5,6.2,4.0,0.25,0.04,Q1,2024
San Juan - Beach District,La Union,50,1,1,2028000.0,40553.0,Condo,0.2,9.2,7.0,4.0,0.15,0.1,Q3,2023
San Fernando City,La Union,150,5,6,3528000.0,23521.0,House,5.0,5.2,7.2,4.0,0.12,0.02,Q4,2024
Bauang - Inland,La Union,72,1,1,2057000.0,28565.0,Condo,4.0,4.5,5.5,4.0,0.1,0.01,Q1,2023
Bauang - Coastal,La Union,60,1,2,1800000.0,29995.0,House,1.0,6.5,6.2,4.0,0.25,0.04,Q3,2024
Molo - Heritage District,Iloilo,30,1,1,1501000.0,50034.0,Condo,5.0,5.0,6.5,5.8,0.2,0.05,Q1,2024
Bauang - Inland,La Union,120,4,3,3320000.0,27664.0,Condo,4.0,4.5,5.5,4.0,0.1,0.01,Q4,2023
Bauang - Coastal,La Union,72,2,1,2474000.0,34357.0,House,1.0,6.5,6.2,4.0,0.25,0.04,Q1,2024
San Juan - Beach District,La Union,150,3,3,6743000.0,44953.0,House,0.2,9.2,7.0,4.0,0.15,0.1,Q3,2024
Mandurriao - CBD Fringe,Iloilo,120,3,4,7265000.0,60539.0,Condo,12.0,4.5,8.5,8.0,0.1,0.04,Q1,2024
Bauang - Inland,La Union,85,3,4,1977000.0,23260.0,House,4.0,4.5,5.5,4.0,0.1,0.01,Q2,2024
San Juan - Surf Town,La Union,180,6,7,6834000.0,37965.0,House,0.5,8.8,6.8,4.0,0.18,0.08,Q2,2024
San Juan - Surf Town,La Union,100,2,2,3806000.0,38065.0,Townhouse,0.5,8.8,6.8,4.0,0.18,0.08,Q4,2024
San Juan - Beach District,La Union,30,1,1,1286000.0,42865.0,Townhouse,0.2,9.2,7.0,4.0,0.15,0.1,Q3,2023
Bauang - Inland,La Union,100,2,1,2794000.0,27940.0,Condo,4.0,4.5,5.5,4.0,0.1,0.01,Q1,2024
Diversion Road Corridor,Iloilo,72,1,1,3399000.0,47207.0,House,11.0,4.0,8.0,7.5,0.12,0.03,Q2,2024
San Juan - Surf Town,La Union,100,1,2,4175000.0,41753.0,Condo,0.5,8.8,6.8,4.0,0.18,0.08,Q2,2024
Diversion Road Corridor,Iloilo,72,3,3,3881000.0,53899.0,Townhouse,11.0,4.0,8.0,7.5,0.12,0.03,Q3,2023
San Fernando City,La Union,100,2,2,2678000.0,26776.0,Townhouse,5.0,5.2,7.2,4.0,0.12,0.02,Q3,2024
San Juan - Surf Town,La Union,180,5,6,7865000.0,43692.0,Townhouse,0.5,8.8,6.8,4.0,0.18,0.08,Q2,2024
Iloilo Business Park - Megaworld,Iloilo,30,1,2,1915000.0,63847.0,Townhouse,15.0,5.5,9.2,9.5,0.05,0.08,Q4,2024
Bauang - Coastal,La Union,150,5,6,4937000.0,32911.0,Condo,1.0,6.5,6.2,4.0,0.25,0.04,Q4,2023
Diversion Road Corridor,Iloilo,72,1,2,4344000.0,60336.0,Townhouse,11.0,4.0,8.0,7.5,0.12,0.03,Q1,2023
Diversion Road Corridor,Iloilo,42,1,1,2469000.0,58776.0,Townhouse,11.0,4.0,8.0,7.5,0.12,0.03,Q1,2023
Molo - Heritage District,Iloilo,42,1,2,1637000.0,38976.0,House,5.0,5.0,6.5,5.8,0.2,0.05,Q2,2023
