location,province,area_sqm,bedrooms,bathrooms,price_php,price_per_sqm_php,property_type,distance_to_beach_km,tourism_density_score,infrastructure_score,employment_zone_score,flood_risk_score,cultural_premium_factor,quarter,year
Bauang - Coastal,La Union,209.0,3,3,9181997.0,43933.0,Townhouse,0.58,6.7,6.2,4.0,0.187,0.1741,Q4,2024
Bauang - Coastal,La Union,150.0,1,1,6433500.0,42890.0,Townhouse,1.19,7.5,6.2,4.0,0.144,0.1643,Q3,2024
Bauang - Coastal,La Union,28.0,2,2,870296.0,31082.0,Lot,0.95,5.6,6.2,4.0,0.313,0.1503,Q1,2025
Bauang - Coastal,La Union,46.0,4,4,1738478.0,37793.0,Lot,0.27,7.0,6.2,4.0,0.08,0.1642,Q4,2024
Bauang - Coastal,La Union,93.0,3,3,3597984.0,38688.0,Lot,1.37,6.3,6.2,4.0,0.106,0.1644,Q2,2024
Bauang - Coastal,La Union,87.0,2,2,3393696.0,39008.0,Lot,0.76,6.5,6.2,4.0,0.023,0.1278,Q2,2024
Bauang - Coastal,La Union,239.0,4,3,9098491.0,38069.0,Condo,0.79,5.9,6.2,4.0,0.358,0.1079,Q4,2025
Bauang - Coastal,La Union,240.0,2,2,11009520.0,45873.0,Condo,0.57,6.3,6.2,4.0,0.306,0.1525,Q3,2025
Bauang - Coastal,La Union,242.0,4,3,10320574.0,42647.0,Condo,0.74,7.3,6.2,4.0,0.323,0.1417,Q3,2025
Bauang - Coastal,La Union,187.0,2,2,7207354.0,38542.0,House,1.17,6.8,6.2,4.0,0.356,0.1136,Q2,2024
Bauang - Coastal,La Union,166.0,3,3,6278784.0,37824.0,Condo,0.92,7.5,6.2,4.0,0.217,0.0862,Q4,2024
Bauang - Coastal,La Union,190.0,2,1,7739270.0,40733.0,Townhouse,1.13,7.2,6.2,4.0,0.265,0.1501,Q2,2025
Bauang - Coastal,La Union,128.0,2,2,4964224.0,38783.0,House,1.14,6.8,6.2,4.0,0.08,0.1027,Q3,2024
Bauang - Coastal,La Union,195.0,4,3,8264295.0,42381.0,House,1.53,7.5,6.2,4.0,0.069,0.1687,Q4,2025
Bauang - Coastal,La Union,227.0,2,1,8605570.0,37910.0,Condo,0.86,6.8,6.2,4.0,0.307,0.1006,Q3,2025
Bauang - Coastal,La Union,219.0,1,1,8456466.0,38614.0,Condo,0.41,7.0,6.2,4.0,0.223,0.089,Q1,2024
Bauang - Coastal,La Union,181.0,2,1,6727951.0,37171.0,Condo,1.43,6.3,6.2,4.0,0.263,0.1583,Q2,2025
Bauang - Coastal,La Union,39.0,3,2,1070082.0,27438.0,Townhouse,0.87,6.5,6.2,4.0,0.349,0.092,Q2,2024
Bauang - Coastal,La Union,209.0,4,3,8451333.0,40437.0,House,1.45,6.1,6.2,4.0,0.293,0.0945,Q4,2024
Bauang - Coastal,La Union,118.0,5,5,4348064.0,36848.0,House,1.15,7.1,6.2,4.0,0.258,0.1357,Q3,2024
Bauang - Coastal,La Union,214.0,2,2,9440182.0,44113.0,Condo,0.95,5.8,6.2,4.0,0.26,0.1626,Q2,2024
Bauang - Coastal,La Union,162.0,2,2,6546906.0,40413.0,Condo,1.14,7.0,6.2,4.0,0.151,0.0962,Q3,2025
Bauang - Coastal,La Union,249.0,1,1,11899461.0,47789.0,Condo,1.78,6.4,6.2,4.0,0.033,0.1074,Q3,2025
Bauang - Coastal,La Union,111.0,3,3,4089351.0,36841.0,Townhouse,1.83,7.2,6.2,4.0,0.208,0.1531,Q2,2025
Bauang - Coastal,La Union,262.0,5,5,12956162.0,49451.0,Townhouse,1.03,7.0,6.2,4.0,0.112,0.1721,Q2,2025
Bauang - Coastal,La Union,240.0,3,2,10867200.0,45280.0,Condo,1.06,7.6,6.2,4.0,0.196,0.126,Q4,2024
Bauang - Coastal,La Union,109.0,3,2,3368754.0,30906.0,Lot,1.43,6.9,6.2,4.0,0.387,0.0911,Q3,2024
Bauang - Coastal,La Union,148.0,2,2,5844224.0,39488.0,Condo,0.66,5.6,6.2,4.0,0.121,0.0784,Q1,2025
Bauang - Coastal,La Union,160.0,4,3,6836800.0,42730.0,Townhouse,1.13,6.5,6.2,4.0,0.045,0.0995,Q3,2025
Bauang - Coastal,La Union,221.0,2,2,9171058.0,41498.0,Condo,0.99,5.8,6.2,4.0,0.141,0.0899,Q3,2024
Bauang - Coastal,La Union,200.0,1,1,8347000.0,41735.0,Condo,1.13,6.2,6.2,4.0,0.146,0.1433,Q3,2024
Bauang - Coastal,La Union,242.0,2,1,9417672.0,38916.0,Townhouse,0.67,7.4,6.2,4.0,0.305,0.0889,Q3,2024
Bauang - Coastal,La Union,119.0,1,1,4404666.0,37014.0,Condo,0.36,6.9,6.2,4.0,0.26,0.1265,Q4,2024
Bauang - Coastal,La Union,153.0,2,2,5733369.0,37473.0,Condo,0.17,6.1,6.2,4.0,0.357,0.1449,Q2,2025
Bauang - Coastal,La Union,134.0,1,1,4723098.0,35247.0,Condo,0.55,5.9,6.2,4.0,0.306,0.1339,Q2,2024
Bauang - Coastal,La Union,256.0,2,1,11154944.0,43574.0,Condo,0.82,6.5,6.2,4.0,0.195,0.0965,Q1,2025
Bauang - Coastal,La Union,102.0,3,3,3555414.0,34857.0,House,0.88,5.8,6.2,4.0,0.37,0.1557,Q3,2025
Bauang - Coastal,La Union,174.0,2,2,7653216.0,43984.0,Townhouse,1.77,6.1,6.2,4.0,0.092,0.147,Q2,2025
Bauang - Coastal,La Union,55.0,2,2,2264900.0,41180.0,Townhouse,1.44,6.7,6.2,4.0,0.03,0.1493,Q2,2024
Bauang - Coastal,La Union,241.0,5,5,11494254.0,47694.0,Condo,0.62,7.2,6.2,4.0,0.059,0.0898,Q3,2024
Bauang - Coastal,La Union,122.0,3,2,3924374.0,32167.0,House,1.14,6.9,6.2,4.0,0.331,0.0891,Q2,2025
Bauang - Coastal,La Union,111.0,3,2,4484733.0,40403.0,Condo,0.84,5.1,6.2,4.0,0.219,0.1678,Q2,2025
Bauang - Coastal,La Union,173.0,2,2,7214273.0,41701.0,Condo,0.89,6.7,6.2,4.0,0.089,0.1159,Q2,2024
Bauang - Coastal,La Union,152.0,4,3,5965088.0,39244.0,Condo,1.07,6.5,6.2,4.0,0.235,0.1064,Q2,2025
Bauang - Coastal,La Union,241.0,2,2,11151070.0,46270.0,Lot,1.25,6.7,6.2,4.0,0.085,0.1248,Q1,2024
Bauang - Coastal,La Union,160.0,2,2,6020960.0,37631.0,Townhouse,0.86,7.5,6.2,4.0,0.319,0.1419,Q4,2025
Bauang - Coastal,La Union,156.0,4,3,5879484.0,37689.0,Townhouse,1.43,5.3,6.2,4.0,0.212,0.1705,Q1,2024
Bauang - Coastal,La Union,51.0,3,3,1713396.0,33596.0,House,0.54,6.1,6.2,4.0,0.184,0.105,Q2,2024
Bauang - Coastal,La Union,30.0,3,2,1014930.0,33831.0,House,1.0,6.9,6.2,4.0,0.15,0.1675,Q3,2024
Bauang - Coastal,La Union,126.0,3,3,4383540.0,34790.0,House,2.04,5.6,6.2,4.0,0.291,0.0794,Q1,2024
Bauang - Coastal,La Union,279.0,3,2,13645890.0,48910.0,House,1.09,7.4,6.2,4.0,0.176,0.1313,Q3,2024
Bauang - Coastal,La Union,258.0,2,2,12101490.0,46905.0,Condo,1.57,6.7,6.2,4.0,0.058,0.139,Q3,2024
Bauang - Coastal,La Union,185.0,2,2,7926140.0,42844.0,Condo,1.04,7.0,6.2,4.0,0.071,0.0874,Q3,2024
Bauang - Coastal,La Union,185.0,2,1,6143850.0,33210.0,Condo,1.23,6.2,6.2,4.0,0.434,0.0907,Q2,2025
Bauang - Coastal,La Union,124.0,2,2,4010532.0,32343.0,Lot,0.98,7.0,6.2,4.0,0.411,0.118,Q1,2024
Bauang - Coastal,La Union,70.0,4,4,2506700.0,35810.0,House,0.93,7.1,6.2,4.0,0.321,0.1716,Q4,2025
Bauang - Coastal,La Union,27.0,2,2,944703.0,34989.0,Lot,0.69,6.6,6.2,4.0,0.134,0.1353,Q2,2025
Bauang - Coastal,La Union,111.0,3,3,4028967.0,36297.0,Condo,1.17,6.6,6.2,4.0,0.437,0.1683,Q4,2024
Bauang - Coastal,La Union,105.0,3,3,3603495.0,34319.0,House,0.66,6.7,6.2,4.0,0.355,0.1557,Q1,2024
Bauang - Coastal,La Union,73.0,3,3,2448931.0,33547.0,Condo,1.27,6.0,6.2,4.0,0.328,0.1227,Q1,2025
Bauang - Coastal,La Union,91.0,2,2,3365544.0,36984.0,Condo,1.43,6.4,6.2,4.0,0.213,0.1538,Q4,2025
Bauang - Coastal,La Union,31.0,2,1,1047025.0,33775.0,Condo,1.15,6.4,6.2,4.0,0.137,0.0787,Q4,2024
Bauang - Coastal,La Union,180.0,5,5,7502040.0,41678.0,Condo,0.89,6.7,6.2,4.0,0.061,0.0877,Q4,2025
Bauang - Coastal,La Union,261.0,3,3,10865952.0,41632.0,Lot,1.18,7.1,6.2,4.0,0.408,0.1582,Q4,2024
Bauang - Coastal,La Union,201.0,4,4,8474763.0,42163.0,Condo,0.88,5.9,6.2,4.0,0.216,0.155,Q1,2024
Bauang - Coastal,La Union,139.0,4,3,5312997.0,38223.0,House,1.37,6.4,6.2,4.0,0.107,0.0998,Q4,2025
Bauang - Coastal,La Union,132.0,3,3,5438928.0,41204.0,House,0.27,7.4,6.2,4.0,0.152,0.1289,Q3,2024
Bauang - Coastal,La Union,103.0,2,1,3766298.0,36566.0,Condo,0.87,6.1,6.2,4.0,0.269,0.1363,Q1,2025
Bauang - Coastal,La Union,61.0,3,3,2410171.0,39511.0,House,0.2,6.0,6.2,4.0,0.096,0.1619,Q1,2024
Bauang - Coastal,La Union,177.0,1,1,6984066.0,39458.0,Condo,0.4,6.6,6.2,4.0,0.388,0.136,Q4,2025
Bauang - Coastal,La Union,169.0,3,3,6546046.0,38734.0,Lot,1.55,7.0,6.2,4.0,0.346,0.1174,Q2,2024
Bauang - Coastal,La Union,26.0,5,4,754624.0,29024.0,Townhouse,1.36,6.5,6.2,4.0,0.329,0.1136,Q4,2024
Bauang - Coastal,La Union,130.0,3,2,5044000.0,38800.0,House,0.71,7.3,6.2,4.0,0.206,0.1187,Q1,2024
Bauang - Coastal,La Union,95.0,2,2,3300015.0,34737.0,House,0.4,7.0,6.2,4.0,0.29,0.1408,Q2,2024
Bauang - Coastal,La Union,68.0,1,1,2435080.0,35810.0,Condo,0.05,7.0,6.2,4.0,0.271,0.1619,Q2,2025
Bauang - Coastal,La Union,204.0,5,4,7945392.0,38948.0,Lot,0.78,6.8,6.2,4.0,0.299,0.1214,Q2,2024
Bauang - Coastal,La Union,159.0,1,1,7051332.0,44348.0,Condo,1.97,7.9,6.2,4.0,0.056,0.1013,Q3,2024
Bauang - Coastal,La Union,186.0,1,1,7512912.0,40392.0,Condo,1.17,6.4,6.2,4.0,0.199,0.1002,Q4,2024
Bauang - Coastal,La Union,206.0,2,2,9418114.0,45719.0,Condo,0.78,5.3,6.2,4.0,0.038,0.15,Q4,2024
Bauang - Coastal,La Union,275.0,1,1,13206050.0,48022.0,Townhouse,1.19,7.5,6.2,4.0,0.232,0.1569,Q3,2025
Bauang - Coastal,La Union,229.0,2,2,9051912.0,39528.0,House,0.38,6.2,6.2,4.0,0.162,0.0873,Q1,2024
Bauang - Coastal,La Union,183.0,3,3,7116870.0,38890.0,Townhouse,0.88,6.6,6.2,4.0,0.082,0.0835,Q4,2025
Bauang - Coastal,La Union,249.0,2,2,12176598.0,48902.0,Townhouse,1.04,7.3,6.2,4.0,0.064,0.1352,Q3,2024
Bauang - Coastal,La Union,146.0,1,1,5217602.0,35737.0,Condo,0.97,5.5,6.2,4.0,0.273,0.0913,Q3,2025
Bauang - Coastal,La Union,276.0,1,1,13512132.0,48957.0,Lot,1.32,5.7,6.2,4.0,0.093,0.1577,Q3,2024
Bauang - Inland,La Union,67.0,1,1,1490415.0,22245.0,House,4.47,4.5,5.5,4.0,0.162,0.0858,Q1,2025
Bauang - Inland,La Union,144.0,2,2,3356352.0,23308.0,Condo,4.08,4.8,5.5,4.0,0.398,0.1125,Q3,2024
Bauang - Inland,La Union,42.0,3,2,966168.0,23004.0,Condo,4.45,5.0,5.5,4.0,0.18,0.1151,Q3,2025
Bauang - Inland,La Union,68.0,3,3,1248412.0,18359.0,Lot,3.06,3.3,5.5,4.0,0.263,0.068,Q3,2025
Bauang - Inland,La Union,132.0,1,1,3057120.0,23160.0,House,4.64,3.5,5.5,4.0,0.136,0.0561,Q2,2025
Bauang - Inland,La Union,228.0,3,3,6700920.0,29390.0,Lot,4.15,4.6,5.5,4.0,0.089,0.0628,Q2,2024
Bauang - Inland,La Union,224.0,2,2,5569984.0,24866.0,Condo,4.43,4.1,5.5,4.0,0.353,0.057,Q4,2024
Bauang - Inland,La Union,91.0,4,4,1841658.0,20238.0,House,3.51,5.3,5.5,4.0,0.234,0.0654,Q4,2024
Bauang - Inland,La Union,132.0,2,1,2714976.0,20568.0,Townhouse,3.67,4.3,5.5,4.0,0.251,0.0891,Q2,2024
Bauang - Inland,La Union,64.0,3,3,1087744.0,16996.0,Condo,4.06,3.3,5.5,4.0,0.435,0.111,Q3,2024
Bauang - Inland,La Union,217.0,2,2,5408291.0,24923.0,Condo,3.99,3.7,5.5,4.0,0.434,0.0872,Q4,2024
Bauang - Inland,La Union,87.0,3,3,1578354.0,18142.0,Townhouse,4.11,2.9,5.5,4.0,0.388,0.0928,Q1,2024
Bauang - Inland,La Union,228.0,2,2,7146888.0,31346.0,Condo,4.43,4.4,5.5,4.0,0.101,0.0658,Q4,2024
Bauang - Inland,La Union,239.0,3,3,6856193.0,28687.0,House,3.29,4.4,5.5,4.0,0.276,0.1039,Q2,2024
Bauang - Inland,La Union,200.0,2,1,5144400.0,25722.0,Lot,4.39,4.2,5.5,4.0,0.398,0.0923,Q4,2024
Bauang - Inland,La Union,109.0,4,4,2618180.0,24020.0,Condo,4.0,5.1,5.5,4.0,0.181,0.1079,Q3,2024
Bauang - Inland,La Union,267.0,3,2,9165576.0,34328.0,Condo,3.92,5.2,5.5,4.0,0.063,0.1133,Q4,2025
Bauang - Inland,La Union,199.0,3,3,4940772.0,24828.0,Condo,3.41,4.4,5.5,4.0,0.369,0.0751,Q1,2024
Bauang - Inland,La Union,189.0,4,4,5016438.0,26542.0,Condo,4.2,3.2,5.5,4.0,0.227,0.0588,Q1,2024
Bauang - Inland,La Union,243.0,5,5,6882975.0,28325.0,Condo,3.03,4.9,5.5,4.0,0.263,0.0674,Q4,2024
Bauang - Inland,La Union,249.0,2,2,6635103.0,26647.0,House,4.26,4.8,5.5,4.0,0.442,0.0808,Q3,2025
Bauang - Inland,La Union,44.0,2,1,858440.0,19510.0,Condo,3.4,4.7,5.5,4.0,0.281,0.1131,Q3,2024
Bauang - Inland,La Union,249.0,2,2,7306905.0,29345.0,House,4.02,5.1,5.5,4.0,0.203,0.077,Q1,2024
Bauang - Inland,La Union,220.0,2,2,6423340.0,29197.0,Condo,3.95,3.8,5.5,4.0,0.179,0.102,Q1,2025
Bauang - Inland,La Union,77.0,3,2,1818047.0,23611.0,Condo,4.47,5.7,5.5,4.0,0.2,0.0874,Q4,2024
Bauang - Inland,La Union,103.0,5,4,2400724.0,23308.0,Condo,3.93,3.9,5.5,4.0,0.071,0.0646,Q2,2025
Bauang - Inland,La Union,216.0,5,4,5612760.0,25985.0,House,3.72,4.9,5.5,4.0,0.362,0.0734,Q3,2025
Bauang - Inland,La Union,80.0,3,3,1588080.0,19851.0,House,3.8,3.5,5.5,4.0,0.38,0.0945,Q2,2024
Bauang - Inland,La Union,140.0,3,3,3674440.0,26246.0,Condo,4.51,3.9,5.5,4.0,0.142,0.0958,Q2,2024
Bauang - Inland,La Union,200.0,4,4,5619600.0,28098.0,Townhouse,4.21,5.4,5.5,4.0,0.151,0.0806,Q1,2025
Bauang - Inland,La Union,190.0,4,3,4019830.0,21157.0,House,3.85,4.3,5.5,4.0,0.396,0.0675,Q4,2025
Bauang - Inland,La Union,256.0,2,2,8580352.0,33517.0,Condo,3.91,5.0,5.5,4.0,0.03,0.0989,Q4,2024
Bauang - Inland,La Union,53.0,3,2,885259.0,16703.0,Lot,3.37,4.6,5.5,4.0,0.244,0.0637,Q1,2024
Bauang - Inland,La Union,100.0,4,4,2407700.0,24077.0,Condo,4.16,4.4,5.5,4.0,0.219,0.1125,Q2,2024
Bauang - Inland,La Union,276.0,2,1,8095908.0,29333.0,Condo,3.3,5.3,5.5,4.0,0.317,0.0649,Q3,2024
Bauang - Inland,La Union,170.0,2,2,4684180.0,27554.0,House,4.3,4.4,5.5,4.0,0.09,0.0598,Q2,2025
Bauang - Inland,La Union,88.0,5,5,1664872.0,18919.0,Condo,4.05,3.4,5.5,4.0,0.307,0.0846,Q3,2024
Bauang - Inland,La Union,98.0,5,4,2029286.0,20707.0,Condo,4.95,4.0,5.5,4.0,0.182,0.086,Q2,2025
Bauang - Inland,La Union,111.0,4,4,2439114.0,21974.0,House,3.56,4.8,5.5,4.0,0.286,0.0853,Q1,2025
Bauang - Inland,La Union,166.0,3,3,4619282.0,27827.0,Condo,3.96,4.7,5.5,4.0,0.037,0.0808,Q2,2025
Bauang - Inland,La Union,97.0,2,1,2118383.0,21839.0,Townhouse,4.72,3.6,5.5,4.0,0.219,0.1162,Q3,2025
Bauang - Inland,La Union,183.0,2,1,4691205.0,25635.0,Lot,4.48,4.1,5.5,4.0,0.245,0.0839,Q1,2025
Bauang - Inland,La Union,138.0,3,3,3859446.0,27967.0,House,3.72,4.2,5.5,4.0,0.112,0.0834,Q4,2025
Bauang - Inland,La Union,180.0,3,2,5142960.0,28572.0,House,4.09,4.3,5.5,4.0,0.08,0.0798,Q1,2025
Bauang - Inland,La Union,64.0,3,2,1402624.0,21916.0,House,4.0,3.7,5.5,4.0,0.101,0.0572,Q1,2024
Bauang - Inland,La Union,184.0,3,3,5106736.0,27754.0,Lot,4.11,4.1,5.5,4.0,0.168,0.0907,Q3,2024
Bauang - Inland,La Union,260.0,2,2,8609640.0,33114.0,Condo,3.72,4.1,5.5,4.0,0.062,0.0675,Q3,2024
Bauang - Inland,La Union,59.0,3,2,1009549.0,17111.0,Condo,3.96,5.0,5.5,4.0,0.427,0.0935,Q2,2025
Bauang - Inland,La Union,108.0,2,1,2184624.0,20228.0,House,3.36,5.0,5.5,4.0,0.194,0.0562,Q2,2025
Bauang - Inland,La Union,201.0,2,2,5120877.0,25477.0,House,4.05,4.4,5.5,4.0,0.368,0.1154,Q1,2024
Bauang - Inland,La Union,182.0,1,1,4285190.0,23545.0,Condo,4.18,4.3,5.5,4.0,0.439,0.0828,Q3,2024
Bauang - Inland,La Union,197.0,2,2,5705317.0,28961.0,House,3.91,4.6,5.5,4.0,0.055,0.11,Q2,2024
Bauang - Inland,La Union,167.0,4,4,3989129.0,23887.0,Condo,3.35,4.0,5.5,4.0,0.3,0.0832,Q1,2025
Bauang - Inland,La Union,199.0,2,2,4527051.0,22749.0,Lot,4.4,3.8,5.5,4.0,0.395,0.0568,Q2,2024
Bauang - Inland,La Union,180.0,2,2,4808880.0,26716.0,Condo,4.15,3.9,5.5,4.0,0.293,0.1053,Q4,2024
Bauang - Inland,La Union,43.0,3,2,869847.0,20229.0,Condo,3.71,4.1,5.5,4.0,0.204,0.0942,Q2,2025
Bauang - Inland,La Union,216.0,3,3,6238512.0,28882.0,Condo,3.89,3.8,5.5,4.0,0.205,0.1027,Q4,2025
Bauang - Inland,La Union,138.0,1,1,3739662.0,27099.0,Condo,3.4,4.6,5.5,4.0,0.035,0.0802,Q2,2024
Bauang - Inland,La Union,38.0,2,1,714552.0,18804.0,Condo,3.59,4.9,5.5,4.0,0.25,0.0936,Q1,2024
Bauang - Inland,La Union,129.0,2,1,2667462.0,20678.0,Condo,3.78,3.5,5.5,4.0,0.447,0.1074,Q2,2025
Bauang - Inland,La Union,135.0,3,3,2657475.0,19685.0,Condo,4.49,4.5,5.5,4.0,0.432,0.0931,Q2,2025
Bauang - Inland,La Union,47.0,2,1,920213.0,19579.0,Condo,3.74,4.4,5.5,4.0,0.037,0.0751,Q1,2025
Bauang - Inland,La Union,279.0,1,1,8332614.0,29866.0,Condo,4.26,4.7,5.5,4.0,0.323,0.0951,Q3,2024
Bauang - Inland,La Union,81.0,1,1,1834326.0,22646.0,Condo,3.78,4.5,5.5,4.0,0.15,0.0957,Q2,2024
Bauang - Inland,La Union,109.0,3,3,2329330.0,21370.0,Condo,4.1,3.6,5.5,4.0,0.408,0.1141,Q3,2024
Bauang - Inland,La Union,137.0,1,1,3766404.0,27492.0,Condo,3.94,3.7,5.5,4.0,0.039,0.0766,Q2,2025
Bauang - Inland,La Union,237.0,4,4,6456354.0,27242.0,Condo,4.35,4.5,5.5,4.0,0.422,0.08,Q2,2024
Bauang - Inland,La Union,214.0,2,1,5376750.0,25125.0,Condo,3.79,5.1,5.5,4.0,0.38,0.1046,Q2,2024
Bauang - Inland,La Union,221.0,3,2,6526793.0,29533.0,Condo,3.37,3.2,5.5,4.0,0.071,0.0852,Q1,2025
Bauang - Inland,La Union,85.0,2,2,2100180.0,24708.0,Townhouse,3.45,4.7,5.5,4.0,0.046,0.0998,Q3,2025
Bauang - Inland,La Union,240.0,2,1,7024080.0,29267.0,Lot,3.79,5.2,5.5,4.0,0.379,0.0822,Q1,2025
